accuracy,precision,recall,f1_macro,specificity,sensitivity,test_sid,n_test
0.9090909090909091,0.9174679487179487,0.8808479532163742,0.8952380952380952,0.9722222222222222,0.7894736842105263,2,55
0.76,0.8775510204081632,0.5384615384615384,0.5016611295681063,1.0,0.07692307692307693,3,50
0.9824561403508771,0.9761904761904762,0.9864864864864865,0.9809555629802873,0.972972972972973,1.0,4,57
0.9827586206896551,0.9761904761904762,0.986842105263158,0.9811382113821139,0.9736842105263158,1.0,5,58
0.9830508474576272,0.9772727272727273,0.986842105263158,0.9817054263565892,0.9736842105263158,1.0,6,59
0.9591836734693877,0.9166666666666667,0.9743589743589743,0.9413875598086124,0.9487179487179487,1.0,7,49
1.0,1.0,1.0,1.0,1.0,1.0,8,49
1.0,1.0,1.0,1.0,1.0,1.0,9,57
0.9827586206896551,0.9761904761904762,0.986842105263158,0.9811382113821139,0.9736842105263158,1.0,10,58
0.9591836734693877,0.975,0.9090909090909092,0.9371794871794872,1.0,0.8181818181818182,11,49
1.0,1.0,1.0,1.0,1.0,1.0,13,51
1.0,1.0,1.0,1.0,1.0,1.0,14,51
1.0,1.0,1.0,1.0,1.0,1.0,15,49
1.0,1.0,1.0,1.0,1.0,1.0,16,60
0.8545454545454545,0.8516483516483516,0.7972136222910217,0.8166666666666667,0.9473684210526315,0.6470588235294118,17,55
